Base,Diverging
22e-7,7693526035414763e-52
.42,8756576900815245e-48
.1026,.06628129465823189
.58,.5868394843573685
39e-6,27431371958522728e-21
6.16,172186337.4540615
30.4,2398387232.331675
2,45441865523331065e-24
