,12.3 , 0.1, 2.91 , 0.03,1.064 , 0.004,-0.75 , 0.02,,
,17.4 , 0.2, 2.87 , 0.02,1.212 , 0.004,-0.72 , 0.03,,
,26.6 , 0.4, 2.77 , 0.06,1.397 , 0.007,-0.70 , 0.04,,
,26.9 , 0.2, 2.93 , 0.02,1.403 , 0.003,-0.76 , 0.01,,
,27.2 , 0.3, 2.91 , 0.02,1.415 , 0.003,-0.79 , 0.02,,
,40.6 , 0.4, 2.76 , 0.02,1.585 , 0.004,-0.71 , 0.02,,
,54.8 , 0.7, 2.86 , 0.01,1.731 , 0.003,-0.86 , 0.02,,
